,regressor,params,features,r2,mse,max_err
134,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 1, 'max_features': None, 'random_state': 0}",ALL_FEATURES,0.004191364013884535,2828468799364.522,31015546.053731345
135,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 5, 'max_features': 'sqrt', 'random_state': 0}",DAY_FEATURES,0.01670078054877777,2792937379884.3506,31168897.415584415
136,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 5, 'max_features': 'sqrt', 'random_state': 0}",NIGHT_FEATURES,0.0019432672860568712,2834854234500.177,31245682.765647743
137,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 5, 'max_features': 'sqrt', 'random_state': 0}",ALL_FEATURES,0.0003236728057195437,2839454488293.638,31270399.336419754
138,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 5, 'max_features': 'log2', 'random_state': 0}",DAY_FEATURES,-0.009713777908017862,2867964600721.867,31024570.5625
139,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 5, 'max_features': 'log2', 'random_state': 0}",NIGHT_FEATURES,0.0019432672860568712,2834854234500.177,31245682.765647743
140,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 5, 'max_features': 'log2', 'random_state': 0}",ALL_FEATURES,0.0003236728057195437,2839454488293.638,31270399.336419754
141,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 5, 'max_features': None, 'random_state': 0}",DAY_FEATURES,0.009665209285400711,2812921032450.751,29670568.903125
142,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 5, 'max_features': None, 'random_state': 0}",NIGHT_FEATURES,-0.0074346833863574435,2861491120263.5107,31299671.827706058
143,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 5, 'max_features': None, 'random_state': 0}",ALL_FEATURES,-0.0018577379323787557,2845650510288.5674,30627147.129411764
144,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 10, 'max_features': 'sqrt', 'random_state': 0}",DAY_FEATURES,0.0216788926966901,2778797680366.5166,30537061.171875
145,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 10, 'max_features': 'sqrt', 'random_state': 0}",NIGHT_FEATURES,0.018788718636273738,2787006855160.954,31293424.93930636
146,DecisionTreeRegressor,"{'criterion': 'mse', 'splitter': 'random', 'max_depth': 10, 'max_features': 'sqrt', 'random_state': 0}",ALL_FEATURES,0.22389435138598668,2204430181448.948,28096714.0
