UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape
lalyan, lalian, chiniot,,"['Lalian, Punjab, Pakistan', 0.0, 31.8194071, 72.79837049999999]",kanven wala,chiniot,chiniot
lalyani urban, kot momin, sargodha,,"['Lalyani, Rawalpindi, Punjab, Pakistan', 0.0, 33.286076, 73.2861187]",None,gujar khan tehsil,rawalpindi
lande wala, chunian, kasur,,"['Lande Wala, Punjab, Pakistan', 0.0, 30.7555009, 74.0784785]",landay,chunian,kasur
langar makhdoom, lalian, chiniot,,"['Langar Makhdoom, Chiniot, Punjab, Pakistan', 0.0, 31.9218954, 73.0715178]",langar makhd,chiniot,chiniot
langar makhdoom (chiniot), chiniot, chiniot,,"['Langar Makhdoom, Chiniot, Punjab, Pakistan', 0.0, 31.9218954, 73.0715178]",langar makhd,chiniot,chiniot
langarke, narowal, narowal,,"['Langarke, Narowal, Punjab, Pakistan', 0.0, 32.2688184, 74.9289149]",manak,narowal,narowal
langarke, zafarwal, narowal,,"['Langarke, Narowal, Punjab, Pakistan', 0.0, 32.2688184, 74.9289149]",manak,narowal,narowal
lanmbary, muridke, sheikhupura,,"['Muridke, Sheikhupura, Punjab, Pakistan', 0.0, 31.8094838, 74.25341499999999]",bhlanwala ka,ferozewala,sheikhupura
lasani town, faisalabad city, faisalabad,,"['Lasani Town, Faisalabad, Punjab, Pakistan', 0.0, 31.4614042, 73.0781579]",chak no. 195,faisalabad saddar,faisalabad
latif abad, multan city, multan,,"['Latifabad, Multan, Punjab, Pakistan', 0.0, 30.1694331, 71.458878]",rangeel pur,multan city,multan
lehar sultan pur, choa saidan shah, chakwal,,"['Lehr Sultanpur, Chakwal, Punjab, Pakistan', 0.0, 32.7424084, 73.0567611]",lehri sultan,choa saidan shah,chakwal
lehtrar bala, kotli sattian, rawalpindi,,"['Lehtrar, Rawalpindi, Punjab, Pakistan', 0.0, 33.7087809, 73.4445392]",None,kahuta tehsil,rawalpindi
leiah city 1, leiah, leiah,,"['Layyah, Punjab, Pakistan', 0.0, 30.9693492, 70.94279139999999]",kotla haji shah,layyah,layyah
leiah city 2, leiah, leiah,,"['Layyah, Punjab, Pakistan', 0.0, 30.9693492, 70.94279139999999]",kotla haji shah,layyah,layyah
leiah city 3, leiah, leiah,,"['Layyah, Punjab, Pakistan', 0.0, 30.9693492, 70.94279139999999]",kotla haji shah,layyah,layyah
leiah thal jandi, leiah, leiah,,"['Layyah, Punjab, Pakistan', 0.0, 30.9693492, 70.94279139999999]",kotla haji shah,layyah,layyah
leiah thal kalan, leiah, leiah,,"['Layyah, Punjab, Pakistan', 0.0, 30.9693492, 70.94279139999999]",kotla haji shah,layyah,layyah
