,UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape,UC Match with Returned Address in Google API,Tehsil Match,District Match,fuzzyUC,fuzzyTehsil,fuzzyDistrict,Manaual Tehsil,Manaual District,crossMatchTehsil,crossMatchDistrict
1358,hassan parwan colony, multan city, multan,,"['Hassan Parwana Colony, Multan, Punjab, Pakistan', 0.0, 30.1866614, 71.4529414]",unknown_1,multan city,multan,False,True,True,85,100,100,multan city,multan,True,True
1359,hassan pur tiwana hamoka, khushab, khushab,,"['Hamoka, Khushab, Punjab, Pakistan', 0.0, 32.169364, 72.2926312]",hassan pur tiwana,khushab,khushab,False,True,True,83,100,100,khushab,khushab,True,True
1360,hassan shah, mailsi, vehari,,"['Hassan Shah, Vehari, Punjab, Pakistan', 0.0, 29.8802964, 72.4006627]",budh ghulam,vehari,vehari,True,False,True,82,33,100,mailsi,vehari,False,True
1361,hast khewa, lalian, chiniot,,"['Chiniot, Punjab, Pakistan', 0.0, 31.8494987, 72.9852928]",hast khiwa,chiniot,chiniot,False,False,True,14,29,100,lalian,chiniot,False,True
1362,haveli majoka, sahiwal, sargodha,,"['Haveli Majoka, Sargodha, Punjab, Pakistan', 0.0, 31.8175581, 72.2571048]",khai khurd,noorpur,khushab,True,False,False,85,0,31,sahiwal,sargodha,False,False
1363,haveli nasir khan, lodhran, lodhran,,"['Haveli Naseer Khan, Lodhran, Punjab, Pakistan', 0.0, 29.5328184, 71.754834]",nasser-ud-di,kehror pacca,lodhran,False,False,True,76,38,100,lodhran,lodhran,False,True
1364,haweli city 1, depalpur, okara,,"['Haveli Lakha, Okara, Punjab, Pakistan', 0.0, 30.4479619, 73.69482339999999]",mehar shah k,depalpur,okara,False,True,True,42,100,100,depalpur,okara,True,True
1365,haweli city 2, depalpur, okara,,"['Haveli Lakha, Okara, Punjab, Pakistan', 0.0, 30.4479619, 73.69482339999999]",mehar shah k,depalpur,okara,False,True,True,42,100,100,depalpur,okara,True,True
1366,haweli city 3, depalpur, okara,,"['Haveli Lakha, Okara, Punjab, Pakistan', 0.0, 30.4479619, 73.69482339999999]",mehar shah k,depalpur,okara,False,True,True,42,100,100,depalpur,okara,True,True
1367,hazara colony, rawalpindi, rawalpindi,,"['Hazara Colony Dhoke Chaudrian, Rawalpindi, Punjab 46000, Pakistan', 0.0, 33.5887337, 73.02669159999999]",None,rawalpindi tehsil,rawalpindi,True,False,True,85,91,100,rawalpindi tehsil,rawalpindi,True,True
1368,hazara mughlan, gujrat, gujrat,,"['Hazara Mughlan, Gujrat, Punjab, Pakistan', 0.0, 32.7977998, 74.2854199]",behraj,gujrat,gujrat,True,True,True,86,100,100,gujrat,gujrat,True,True
1369,hazrat kelianwala, wazirabad, gujranwala,,"['Wazirabad, Gujranwala, Punjab, Pakistan', 0.0, 32.4404179, 74.120255]",ghaga miter,wazirabad,gujranwala,False,True,True,44,100,100,wazirabad,gujranwala,True,True
1370,hazro-ii, hazro, attock,,"['Street 2, GBC Colony Hattian, Attock, Punjab, Pakistan', 0.0, 33.8605156, 72.458894]",khakwani,attock,attock,False,False,True,12,33,100,attock,attock,True,True
1371,hazro i, hazro, attock,,"['Hazro, Attock, Punjab, Pakistan', 0.0, 33.9053236, 72.4790696]",malik mala,attock,attock,False,False,True,80,33,100,attock,attock,True,True
1372,head marala, sialkot, sialkot,,"['Head Marala, Sialkot, Punjab, Pakistan', 0.0, 32.6723991, 74.4643879]",bhagowal awa,sialkot,sialkot,True,True,True,82,100,100,sialkot,sialkot,True,True
1373,head marala head marala, sialkot, sialkot,,"['Head Marala Rd, Sialkot, Punjab, Pakistan', 0.0, 32.556656, 74.4942748]",miani,sialkot,sialkot,False,True,True,71,100,100,sialkot,sialkot,True,True
1374,heer, lahore cantt, lahore,,"['Lahore Cantt, Lahore, Punjab, Pakistan', 0.0, 31.53204, 74.4525627]",bhangali,lahore,lahore,False,False,True,50,100,100,lahore,lahore,True,True
1375,heer, nashter town, lahore,,"['Nishter Town, Lahore, Punjab, Pakistan', 0.0, 31.4763063, 74.35141589999999]",cantonment,lahore,lahore,False,False,True,75,50,100,lahore,lahore,True,True
1376,hela watowan, pakpattan, pakpattan,,"['Pākpattan, Pakpattan, Punjab, Pakistan', 0.0, 30.3572898, 73.38265849999999]",37/sp,pakpattan,pakpattan,False,True,True,44,100,100,pakpattan,pakpattan,True,True
